File Name,File Id,Cyclometric Density,Decision Density,Essential Density,Branch Count,Condition Count,Cyclometric Complexity,Decision Count,Essential Complexity,LOC,Total Operands,Total Operators,Unique Operands Count,Unique Operators Count,Halstead Difficulty,Halstead Length,Halstead Level,Halstead Programming Effort,Halstead Programming Time,Halstead Volume,Maintenance Severity,Defected?(false/true) 
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\project\MultiStreamReaderGeneratorTest.java,102,6,0.0,1.0,0,0,0.0,0,6,0,8,5,5,2,1.61,13,0.62,0.84,0.05,0.52,1.0,false
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\project\PathFilter.java,107,19,1.0,0.94,1,1,0.0,1,18,0,25,17,17,6,4.35,42,0.23,1.35,0.08,0.31,0.95,false
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\project\Project.java,113,11,0.0,1.0,0,0,3.27,0,11,36,11,12,6,3,2.78,23,0.36,0.95,0.05,0.34,1.0,false
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\project\ProjectBuilder.java,119,24,2.0,0.96,1,2,1.71,1,23,41,19,21,7,5,6.67,40,0.15,1.07,0.06,0.16,0.96,false
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\project\ProjectFlatReaderDistributor.java,126,7,0.0,1.0,0,0,0.0,0,7,0,1,1,1,1,0.5,2,2.0,0.3,0.02,0.6,1.0,false
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\project\ProjectFlatReaderDistributorTest.java,130,6,0.0,1.0,0,1,5.17,0,6,31,4,4,4,3,1.49,8,0.67,0.85,0.05,0.57,1.0,false
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\project\Projects.java,135,6,0.0,0.8,1,0,3.5,0,5,21,1,4,1,3,1.49,5,0.67,0.6,0.03,0.4,0.83,false
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\project\ProjectsTest.java,139,7,0.0,0.83,0,3,4.57,0,6,32,24,19,14,6,5.26,43,0.19,1.31,0.07,0.25,0.86,false
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\project\TestObjects.java,144,4,0.0,1.0,0,0,3.5,0,4,14,10,7,6,2,1.67,17,0.6,0.9,0.05,0.54,1.0,false
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\projectpairmachine\MultiProjectComparison.java,147,0,0.0,1.0,0,0,0.0,0,0,9,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,false
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\projectpairmachine\ProjectsCorrelationMatrix.java,149,9,0.0,1.0,0,0,0.0,0,9,0,4,5,2,3,3.03,9,0.33,0.7,0.04,0.23,1.0,false
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\projectpairmachine\SimpleMultiProjectComparison.java,155,10,0.0,1.0,0,0,0.0,0,10,0,6,5,2,3,4.55,11,0.22,0.68,0.04,0.15,1.0,false
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\projectpairmachine\SimpleMultiProjectComparisonTest.java,160,6,1.0,0.6,2,2,5.17,2,4,31,8,8,7,3,1.72,16,0.58,1.0,0.06,0.58,0.67,false
